Year,Month,Province,District,Road_Type,Intersection_Type,Time_of_Day,Accident_Severity,Weather_Condition,Road_Surface,Vehicle_Type,Speed_Zone,Driver_Gender,DayOfWeek
2026,January,Sudurpashchim,Kailali,Highway,Junction,Afternoon,Damage Only,Clear,Slippery,Scooter,50,Male,Friday
2025,March,Bagmati,Chitwan,Feeder,Curve,Evening,Serious Injury,Clear,Dry,Car,50,Female,Friday
2023,March,Lumbini,Kapilvastu,Urban,Straight,Morning,Damage Only,Clear,Dry,Truck,30,Male,Thursday
2024,February,Madhesh,Rautahat,Urban,Curve,Night,Minor Injury,Clear,Slippery,Motorbike,80,Male,Friday
2023,February,Sudurpashchim,Achham,Urban,Straight,Night,Serious Injury,Clear,Wet,Scooter,50,Male,Friday
2025,November,Sudurpashchim,Achham,Highway,Straight,Evening,Damage Only,Clear,Wet,Bus,50,Female,Saturday
2023,October,Sudurpashchim,Achham,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Motorbike,50,Male,Tuesday
2025,June,Koshi,Ilam,Rural,Junction,Evening,Fatal,Clear,Slippery,Motorbike,30,Female,Tuesday
2024,January,Koshi,Jhapa,Highway,Straight,Morning,Minor Injury,Clear,Damaged,Truck,30,Male,Saturday
2025,February,Karnali,Dailekh,Urban,Straight,Evening,Serious Injury,Rain,Wet,Microbus,50,Male,Tuesday
2025,January,Madhesh,Sarlahi,Highway,Straight,Morning,Minor Injury,Clear,Wet,Truck,30,Male,Friday
2023,February,Madhesh,Bara,Feeder,Straight,Night,Serious Injury,Rain,Wet,Car,30,Male,Wednesday
2023,February,Lumbini,Dang,Rural,Straight,Morning,Minor Injury,Clear,Dry,Microbus,50,Female,Sunday
2025,February,Koshi,Morang,Feeder,Straight,Night,Minor Injury,Clear,Wet,Motorbike,80,Female,Thursday
2023,August,Karnali,Jumla,Highway,Curve,Night,Minor Injury,Fog,Damaged,Scooter,30,Male,Saturday
2023,May,Madhesh,Sarlahi,Highway,Curve,Morning,Minor Injury,Clear,Wet,Motorbike,30,Male,Friday
2024,April,Sudurpashchim,Kanchanpur,Feeder,Curve,Night,Damage Only,Clear,Damaged,Motorbike,50,Female,Monday
2024,December,Karnali,Kalikot,Highway,Junction,Night,Serious Injury,Clear,Dry,Microbus,30,Male,Monday
2025,February,Sudurpashchim,Kanchanpur,Rural,Straight,Morning,Minor Injury,Clear,Wet,Truck,50,Male,Sunday
2024,January,Gandaki,Lamjung,Highway,Curve,Night,Fatal,Clear,Dry,Scooter,50,Male,Wednesday
2023,December,Madhesh,Parsa,Rural,Straight,Evening,Minor Injury,Fog,Wet,Scooter,30,Male,Sunday
2024,July,Madhesh,Parsa,Highway,Curve,Evening,Fatal,Dusty,Wet,Scooter,80,Male,Wednesday
2024,September,Sudurpashchim,Kanchanpur,Rural,Straight,Morning,Serious Injury,Clear,Wet,Bus,50,Male,Friday
2023,November,Karnali,Jumla,Rural,Straight,Night,Damage Only,Fog,Slippery,Microbus,50,Male,Sunday
2023,March,Sudurpashchim,Achham,Urban,Straight,Night,Damage Only,Clear,Wet,Truck,50,Male,Tuesday
2023,September,Karnali,Dailekh,Highway,Straight,Afternoon,Minor Injury,Clear,Dry,Motorbike,50,Male,Sunday
2024,September,Bagmati,Kathmandu,Feeder,Curve,Afternoon,Minor Injury,Rain,Wet,Motorbike,30,Other,Friday
2024,June,Sudurpashchim,Kanchanpur,Feeder,Straight,Morning,Minor Injury,Clear,Dry,Motorbike,50,Female,Sunday
2023,November,Bagmati,Bhaktapur,Feeder,Straight,Evening,Serious Injury,Rain,Wet,Car,30,Male,Wednesday
2024,July,Lumbini,Dang,Rural,Straight,Evening,Serious Injury,Clear,Slippery,Truck,80,Female,Thursday
2023,December,Lumbini,Dang,Urban,Straight,Afternoon,Minor Injury,Clear,Dry,Car,30,Male,Thursday
2025,April,Koshi,Morang,Highway,Straight,Afternoon,Minor Injury,Clear,Slippery,Truck,50,Male,Friday
2024,October,Karnali,Surkhet,Highway,Straight,Evening,Serious Injury,Clear,Slippery,Scooter,50,Male,Tuesday
2024,November,Madhesh,Parsa,Urban,Straight,Evening,Minor Injury,Dusty,Damaged,Truck,50,Male,Monday
2023,November,Koshi,Sunsari,Urban,Curve,Afternoon,Damage Only,Clear,Wet,Car,80,Male,Saturday
2024,July,Gandaki,Kaski,Rural,Straight,Afternoon,Minor Injury,Clear,Damaged,Truck,30,Male,Tuesday
2024,February,Gandaki,Gorkha,Urban,Straight,Afternoon,Damage Only,Clear,Dry,Motorbike,30,Female,Saturday
2023,February,Bagmati,Kathmandu,Rural,Straight,Night,Serious Injury,Clear,Wet,Microbus,30,Female,Wednesday
2023,October,Karnali,Kalikot,Rural,Straight,Night,Damage Only,Clear,Damaged,Truck,50,Male,Sunday
2024,August,Karnali,Dailekh,Highway,Straight,Morning,Serious Injury,Clear,Dry,Jeep,80,Male,Friday
2025,September,Madhesh,Rautahat,Urban,Junction,Night,Damage Only,Clear,Wet,Car,80,Male,Monday
2023,March,Koshi,Jhapa,Feeder,Straight,Night,Serious Injury,Clear,Dry,Truck,30,Male,Sunday
2025,October,Gandaki,Lamjung,Feeder,Straight,Night,Minor Injury,Rain,Wet,Truck,80,Female,Friday
2023,November,Gandaki,Kaski,Feeder,Curve,Afternoon,Damage Only,Dusty,Slippery,Car,30,Male,Monday
2025,June,Sudurpashchim,Achham,Urban,Straight,Evening,Minor Injury,Rain,Wet,Motorbike,50,Male,Sunday
2023,November,Lumbini,Kapilvastu,Highway,Straight,Afternoon,Minor Injury,Rain,Wet,Scooter,50,Female,Friday
2023,November,Bagmati,Kathmandu,Urban,Curve,Morning,Minor Injury,Rain,Wet,Motorbike,80,Male,Monday
2023,January,Madhesh,Sarlahi,Urban,Straight,Night,Minor Injury,Clear,Wet,Motorbike,30,Male,Tuesday
2023,February,Gandaki,Kaski,Highway,Curve,Morning,Fatal,Clear,Dry,Car,30,Male,Wednesday
2023,August,Lumbini,Rupandehi,Urban,Junction,Afternoon,Minor Injury,Rain,Wet,Car,80,Male,Friday
2024,November,Gandaki,Gorkha,Rural,Roundabout,Afternoon,Serious Injury,Clear,Slippery,Car,30,Male,Monday
2025,December,Karnali,Jumla,Rural,Curve,Morning,Minor Injury,Clear,Slippery,Truck,50,Male,Monday
2023,November,Gandaki,Tanahun,Highway,Straight,Night,Minor Injury,Clear,Dry,Motorbike,30,Male,Tuesday
2023,May,Koshi,Ilam,Feeder,Straight,Morning,Minor Injury,Clear,Slippery,Jeep,30,Female,Thursday
2025,November,Koshi,Sunsari,Rural,Junction,Afternoon,Damage Only,Clear,Slippery,Car,30,Male,Sunday
2023,October,Madhesh,Parsa,Highway,Curve,Evening,Damage Only,Clear,Dry,Scooter,50,Male,Friday
2025,July,Sudurpashchim,Kanchanpur,Urban,Junction,Evening,Minor Injury,Clear,Wet,Motorbike,50,Male,Friday
2026,January,Sudurpashchim,Kailali,Highway,Junction,Morning,Minor Injury,Clear,Wet,Motorbike,30,Male,Sunday
2025,July,Koshi,Morang,Feeder,Straight,Evening,Minor Injury,Fog,Slippery,Car,80,Male,Sunday
2023,December,Karnali,Surkhet,Urban,Junction,Evening,Serious Injury,Rain,Wet,Jeep,30,Male,Thursday
2023,October,Lumbini,Banke,Highway,Curve,Evening,Minor Injury,Clear,Damaged,Motorbike,80,Male,Monday
2023,May,Madhesh,Parsa,Urban,Junction,Morning,Fatal,Clear,Slippery,Motorbike,80,Female,Saturday
2023,July,Koshi,Ilam,Urban,Straight,Afternoon,Minor Injury,Clear,Slippery,Car,30,Male,Monday
2023,March,Madhesh,Rautahat,Highway,Junction,Morning,Damage Only,Clear,Dry,Jeep,50,Male,Wednesday
2023,May,Gandaki,Gorkha,Urban,Junction,Evening,Minor Injury,Fog,Wet,Motorbike,30,Female,Tuesday
2025,July,Bagmati,Lalitpur,Rural,Straight,Morning,Minor Injury,Dusty,Wet,Jeep,30,Male,Wednesday
2023,February,Koshi,Sunsari,Rural,Straight,Night,Damage Only,Rain,Wet,Motorbike,30,Male,Monday
2024,February,Karnali,Dailekh,Rural,Straight,Evening,Damage Only,Clear,Slippery,Car,80,Male,Thursday
